model,variable,n,mae,bias,rmse
best_match,temp_f,1146,3.7575488850908063,-0.38441527491751004,5.186422742505683
best_match,humidity_pct,1146,7.836914453409167,0.8115754290956124,9.976857472316127
best_match,dewpoint_f,1146,3.238056748243476,0.052171714241633735,4.453798727686533
best_match,wind_mph,1146,3.146727051201675,3.0486389310823276,3.836586144828778
best_match,gust_mph,1146,4.478874345549739,3.062870855148342,6.17107154362268
best_match,pressure_abs_hpa,8731,2.1516784482210234,-1.2564653754906872,3.1817452286309638
best_match,precip_in,1560,0.0046685897435897435,-0.002541666666666667,0.04251204203456614
ecmwf_ifs025,temp_f,1146,3.5712476382982854,-0.19968578102571266,4.989693125039129
ecmwf_ifs025,humidity_pct,1146,7.696247444500472,0.2862700189734481,10.776488551503745
ecmwf_ifs025,dewpoint_f,1146,2.9920477918886736,-0.41274975172695266,4.085454953599246
ecmwf_ifs025,wind_mph,1146,3.323078924116398,3.255183433700129,4.1806189799933415
ecmwf_ifs025,gust_mph,1146,7.228664921465968,7.090619546247819,8.903921626541203
ecmwf_ifs025,pressure_abs_hpa,8731,1.438743653272568,-0.46445987783864245,2.746917347234242
ecmwf_ifs025,precip_in,1560,0.006698076923076924,0.0006621794871794872,0.025536913955272165
gem_seamless,temp_f,1146,3.7989432893839123,0.3697732067578828,5.4701683038918665
gem_seamless,humidity_pct,1146,8.716798244160573,-0.04444551331276458,12.146708949624802
gem_seamless,dewpoint_f,1146,2.935498757002299,-0.1576014096676156,4.057644466262151
gem_seamless,wind_mph,1146,2.3225343467493773,2.174031601239396,2.855502263626709
gem_seamless,gust_mph,1146,3.9638830715532283,1.6585078534031414,5.682113488819585
gem_seamless,pressure_abs_hpa,8731,1.2906398352899673,-0.24828761807458347,2.706812905015384
gem_seamless,precip_in,1560,0.005673076923076924,-0.0008333333333333332,0.030878317843116274
gfs_hrrr,temp_f,1146,3.7575488850908063,-0.38441527491751004,5.186422742505683
gfs_hrrr,humidity_pct,1146,7.836914453409167,0.8115754290956124,9.976857472316127
gfs_hrrr,dewpoint_f,1146,3.238056748243476,0.052171714241633735,4.453798727686533
gfs_hrrr,wind_mph,1146,3.146727051201675,3.0486389310823276,3.836586144828778
gfs_hrrr,gust_mph,1146,4.478874345549739,3.062870855148342,6.17107154362268
gfs_hrrr,pressure_abs_hpa,8731,2.1516784482210234,-1.2564653754906872,3.1817452286309638
gfs_hrrr,precip_in,1560,0.0046685897435897435,-0.002541666666666667,0.04251204203456614
gfs_seamless,temp_f,1146,3.7575488850908063,-0.38441527491751004,5.186422742505683
gfs_seamless,humidity_pct,1146,7.836914453409167,0.8115754290956124,9.976857472316127
gfs_seamless,dewpoint_f,1146,3.238056748243476,0.052171714241633735,4.453798727686533
gfs_seamless,wind_mph,1146,3.146727051201675,3.0486389310823276,3.836586144828778
gfs_seamless,gust_mph,1146,4.478874345549739,3.062870855148342,6.17107154362268
gfs_seamless,pressure_abs_hpa,8731,2.1516784482210234,-1.2564653754906872,3.1817452286309638
gfs_seamless,precip_in,1560,0.0046685897435897435,-0.002541666666666667,0.04251204203456614
icon_seamless,temp_f,1146,4.0769769944406935,-0.6034379625265853,5.344854479930129
icon_seamless,humidity_pct,1146,8.371861216177802,1.327282235378335,11.220098646636343
icon_seamless,dewpoint_f,1146,2.807381913572599,-0.38665900129065234,3.7358676038970025
icon_seamless,wind_mph,1146,2.574822834325245,2.4906110078711587,3.272193242508292
icon_seamless,gust_mph,1146,5.644249563699825,5.107024432809773,7.740116824972565
icon_seamless,pressure_abs_hpa,8731,1.3544638898721384,-0.3294810667058974,2.7233140887687197
icon_seamless,precip_in,1560,0.00575576923076923,-0.0006929487179487178,0.0280500125691274
ncep_nbm_conus,temp_f,1146,4.006757133945493,-0.7040487827709133,5.212114196250819
ncep_nbm_conus,humidity_pct,1146,8.954836370208731,4.486095498903639,11.434959518038335
ncep_nbm_conus,dewpoint_f,1146,2.71000970851811,0.7782624646779337,3.886211752921781
ncep_nbm_conus,wind_mph,1146,2.4426689175057668,2.2379932068240382,3.2361971136867793
ncep_nbm_conus,gust_mph,1146,3.488420593368237,2.0018760907504363,4.79754228273444
ncep_nbm_conus,precip_in,1560,0.006447435897435897,-8.589743589743598e-05,0.027511838943467266
