model,variable,lead_d,n,mae,bias
best_match,temp_f,1,1146,3.797817476467569,1.5124433638259456
best_match,wind_mph,1,1146,4.332269462822966,4.296021130035208
best_match,gust_mph,1,1146,6.392137870855148,5.457111692844678
best_match,humidity_pct,1,1146,13.363968833838264,-11.194532773347667
best_match,temp_f,2,1146,4.985053449189559,-1.8399999171513668
best_match,wind_mph,2,1146,2.677584868467881,2.581012404031717
best_match,gust_mph,2,1146,3.6967975567190234,1.4654013961605583
best_match,humidity_pct,2,1146,11.38203342638771,1.015763910771005
best_match,temp_f,3,1146,4.9484991104202996,-1.8620767059820826
best_match,wind_mph,3,1146,2.483344332959537,2.3171380584819787
best_match,gust_mph,3,1146,3.7083507853403144,0.7966404886561955
best_match,humidity_pct,3,1146,12.62493745492749,1.9058162667919474
best_match,temp_f,4,1146,5.24712743666969,-2.4489004407115766
best_match,wind_mph,4,1146,2.6083047138579,2.430576103857197
best_match,gust_mph,4,1146,3.9082984293193714,1.1280541012216405
best_match,humidity_pct,4,1146,13.10818410545403,4.1091321481183
best_match,temp_f,5,1146,5.390482416287665,-2.4253402312874925
best_match,wind_mph,5,1146,2.624793300489633,2.381885004380757
best_match,gust_mph,5,1146,4.469572425828971,1.2729057591623036
best_match,humidity_pct,5,1146,12.980013078212346,2.788887820020569
best_match,temp_f,6,1146,5.815341618010179,-2.4583245244812093
best_match,wind_mph,6,1146,2.578629610386691,2.3505586518502164
best_match,gust_mph,6,1146,4.647897033158813,1.2356457242582894
best_match,humidity_pct,6,1146,14.628005083507162,4.782779617577288
best_match,temp_f,7,1146,5.928869538981556,-2.5711517496121
best_match,wind_mph,7,1146,2.508573900916563,2.181972264415661
best_match,gust_mph,7,1146,4.772801047120419,0.7202006980802793
best_match,humidity_pct,7,1146,14.633066465457354,3.866549251085142
ecmwf_ifs025,temp_f,1,1146,3.7299713185276926,0.48041893101617206
ecmwf_ifs025,wind_mph,1,1146,3.4584236128936476,3.422199140506412
ecmwf_ifs025,humidity_pct,1,1146,8.543684977257888,-0.36992544350473666
ecmwf_ifs025,temp_f,2,1146,3.8739931477961043,0.48286221199348456
